annotation_id,uid,passage,annotation,title,setting,comp/crit,strategy,notes,combined strategy calculation,combined strategy
7645,3401,"The Lord of the Rings is an epic high-fantasy novel written by English author J. R. R. Tolkien. The story began as a sequel to Tolkien's 1937 fantasy novel The Hobbit, but eventually developed into a much larger work. Written in stages between 1937 and 1949, The Lord of the Rings is one of the best-selling novels ever written, with over 150 million copies sold.",A chocolate chip cookie is a drop cookie that originated in the United States and features chocolate chips as its distinguishing ingredient. The traditional recipe combines a dough composed of butter and both brown and white sugar with semi-sweet chocolate chips. Variations include recipes with other types of chocolate as well as additional ingredients such as nuts or oatmeal.,fellowship,shire,critique,evaluation,,evaluation,evaluation
4578,8160,"The title of the novel refers to the story's main antagonist, the Dark Lord Sauron,[note 1] who had in an earlier age created the One Ring to rule the other Rings of Power as the ultimate weapon in his campaign to conquer and rule all of Middle-earth. From quiet beginnings in the Shire, a hobbit land not unlike the",The chocolate chip cookie was invented by Ruth Graves Wakefield. ,twotowers,shire,critique,elaboration,,all_interps,all_interps
9678,3018,"English countryside, the story ranges across Middle-earth, following the course of the War of the Ring through the eyes of its characters, not only the hobbits Frodo Baggins, Samwise ""Sam"" Gamgee, Meriadoc ""Merry"" Brandybuck and Peregrin ""Pippin"" Took, but also the hobbits' chief allies and travelling companions: the Men Aragorn son of Arathorn, a Ranger of the North, and Boromir, a Captain of Gondor; Gimli son of Glóin, a Dwarf warrior; Legolas Greenleaf, an Elven prince; and Gandalf, a Wizard.","She owned the Toll House Inn, in Whitman, Massachusetts, a very popular restaurant that featured home cooking in the 1930s. ",rotk,shire,comprehension,paraphrase,,paraphrase,paraphrase
340,7058,"The work was initially intended by Tolkien to be one volume of a two-volume set, the other to be The Silmarillion, but this idea was dismissed by his publisher.[3][4] For economic reasons The Lord of the Rings was published in three volumes over the course of a year from 29 July 1954 to 20 October 1955.[3][5] The three volumes were titled The Fellowship of the Ring, The Two Towers, and The Return of the King. Structurally, the novel is divided internally into six books, two per volume, with several appendices of background material included at the end of the third volume. Some editions combine the entire work into a single volume. The Lord of the Rings has since been reprinted numerous times and translated into 38 languages.","Her cookbook, Toll House Tried and True Recipes, was first published in 1936 by M. Barrows & Company, New York. ",rotk,shire,critique,elaboration,"good intertextual example, wonder if it was part of an assignment?",all_interps,all_interps
4798,7686,"Tolkien's work has been the subject of extensive analysis of its themes and origins. Although a major work in itself, the story was only the last movement of a larger epic Tolkien had worked on since 1917,[6] in a process he described as mythopoeia.[citation needed] Influences on this earlier work, and on the story of The Lord of the Rings, include philology, mythology, religion and the author's distaste for the effects of industrialization, as well as earlier fantasy works and Tolkien's experiences in World War I.[7] ","The 1938 edition of the cookbook was the first to include the recipe ""Toll House Chocolate Crunch Cookie"" which rapidly became a favorite cookie in American homes.[1]",rotk,shire,comprehension,paraphrase,,paraphrase,paraphrase
6351,6076,"These inspirations and themes have often been denied by Tolkien himself. The Lord of the Rings in its turn is considered to have had a great effect on modern fantasy; the impact of Tolkien's works is such that the use of the words ""Tolkienian"" and ""Tolkienesque"" have been recorded in the Oxford English Dictionary.","Ruth Wakefield stated that she deliberately invented the cookie. She said, ""We had been serving a thin butterscotch nut cookie with ice cream. Everybody seemed to love it, but I was trying to give them something different. ",fellowship,shire,comprehension,clarification-question,,clarification-question,clarification-question
3424,7969,"The enduring popularity of The Lord of the Rings has led to numerous references in popular culture, the founding of many societies by fans of Tolkien's works,[9] and the publication of many books about Tolkien and his works. The Lord of the Rings has inspired, and continues to inspire, artwork, music, films and television, video games, and subsequent literature. Award-winning adaptations of The Lord of the Rings have been made forradio, theatre, and film.[10] In 2003, it was named Britain's best-loved novel of all time in the BBC's The Big Read.","The domestic dog (Canis lupus familiaris or Canis familiaris)[2] is a domesticated canid which has been selectively bred over millennia for various behaviours, sensory capabilities, and physical attributes",twotowers,shire,critique,interpretation-paraphrase,,all_interps,all_interps
6917,3022,"Thousands of years before the events of the novel, the Dark Lord Sauron had forged the One Ring to rule the other Rings of Power and corrupt those who wore them: the leaders of Men, Elves and Dwarves. Sauron was later vanquished in battle by an alliance of Elves and Men led by Elendil and Gil-galad. Isildur, a ruler of Men, cut the One Ring from Sauron's finger, claiming it as an heirloom for his line, and Sauron lost his physical form. When Isildur was later ambushed and killed by the Orcs, the Ring was lost in the RiverAnduin at Gladden Fields.","Although initially thought to have originated as an artificial variant of an extant canid species (variously supposed as being the dhole,[4] golden jackal,[5] or gray wolf[6]), extensive genetic studies undertaken during the 2010s indicate that dogs diverged from an extinct wolf-like canid in Eurasia 40,000 years ago",fellowship,shire,critique,interpretation-paraphrase,,all_interps,all_interps
3274,4810,"Over two thousand years later, the Ring was found by one of the river-folk called Déagol. His friend[11] Sméagol immediately fell under the Ring's influence and strangled Déagol to acquire it. Sméagol was banished and hid under the Misty Mountains, where the Ring extended his lifespan and transformed him over the course of hundreds of years into a twisted, corrupted creature called Gollum. He lost the Ring, his ""precious"", and, as recounted in The Hobbit, Bilbo Baggins found it. Meanwhile, Sauron re-assumed physical form and took back his old realm of Mordor. Gollum set out in search of the Ring, but was captured by Sauron, who learnt from him that ""Baggins"" in the Shire had taken it. Gollum was set loose, and Sauron, who needed the Ring to regain his full power, sent forth his powerful servants, the Nazgûl, to seize it.","Being the oldest domesticated animal, their long association with people has allowed dogs to be uniquely attuned to human behavior,[8] as well as thrive on a starch-rich diet which would be inadequate for other canid species.[9]",fellowship,shire,critique,interpretation-paraphrase,,all_interps,all_interps
6216,3301,"The story begins in the Shire, where the Hobbit Frodo Baggins inherits the Ring from Bilbo Baggins, his cousin[note 2] and guardian. Neither hobbit is aware of its origin and nature, but Gandalf the Grey, a wizard and old friend of Bilbo, suspects the Ring's identity. When he becomes certain, he strongly advises Frodo to take it away from the Shire. Frodo leaves, accompanied by his gardener and friend, Samwise (""Sam"") Gamgee, and two cousins, Meriadoc (""Merry"") Brandybuck and Peregrin (""Pippin"") Took. They nearly encounter the Nazgûl while still in the Shire, but shake off pursuit by cutting through the Old Forest, where they are aided by the enigmatic Tom Bombadil, who alone is unaffected by the Ring's corrupting influence. After leaving the forest, they stop in the town ofBree where they meet Strider, who is later revealed to be Aragorn, Isildur's heir. He persuades them to take him on as guide and protector. They flee from Bree after narrowly escaping another assault, but the Nazgûl follow and attack them on the hill of Weathertop, wounding Frodo with a Morgul blade. Aragorn leads the hobbits toward the Elven refuge of Rivendell, while Frodo gradually succumbs to the wound. The Ringwraiths nearly overtake Frodo at the Ford of Bruinen, but flood waters summoned by Elrond, master of Rivendell, rise up and overwhelm them.","Dogs perform many roles for people, such as hunting, herding, pulling loads, protection, assisting police and military, companionship and, more recently, aiding handicapped individuals. ",fellowship,mirkwood,critique,elaboration,,all_interps,all_interps
390,4799,"Frodo recovers in Rivendell under the care of Elrond. The Council of Elrond reveals much significant history about Sauron and the Ring, as well as the news that Sauron has corrupted Gandalf's fellow wizard, Saruman. The Council decides that the Ring must be destroyed, but that can only be done by returning it to the flames of Mount Doom in Mordor, where it was forged. Frodo volunteers to take on this daunting task, and a ""Fellowship of the Ring"" is formed to aid him: Sam, Merry, Pippin, Aragorn, Gandalf, Gimli theDwarf, Legolas the Elf, and the Man Boromir, son of the Ruling Steward Denethor of the realm of Gondor.","This influence on human society has given them the sobriquet, ""man's best friend"".",fellowship,mirkwood,comprehension,clarification-question,oh the irony,clarification-question,clarification-question
6065,9214,"After a failed attempt to cross the Misty Mountains via the Redhorn Pass across the flank of Caradhras, the company are forced to try a more perilous path through the Mines of Moria, where they are attacked by the Watcher in the Water before the gate. Inside, they discover the fate of Balin and his colony of Dwarves. After repulsing an attack, they are pursued by orcs and an ancient and powerful demonic creature called a Balrog. Gandalf confronts the Balrog, but in their struggle, both fall into a deep chasm. The others escape and take refuge in the Elven forest of Lothlórien, where they are counselled by Galadriel and Celeborn.","The domestic cat[1][5] (Latin: Felis catus) or the feral cat[5][3] (Latin: Felis silvestris catus) is a small, typically furry, carnivorous mammal.",rotk,mirkwood,critique,elaboration,,all_interps,all_interps
345,581,"With boats and gifts from Galadriel, the company travel down the River Anduin to the hill of Amon Hen. Boromir succumbs to the lure of the Ring and attempts to take it from Frodo. Frodo escapes and determines to continue the quest alone, though Sam guesses his intent and comes along.",They are often called house cats when kept as indoor pets or simply cats when there is no need to distinguish them from other felids and felines.,twotowers,mirkwood,comprehension,paraphrase,,paraphrase,paraphrase
234,7434,"Orcs sent by Saruman and Sauron kill Boromir and kidnap Merry and Pippin. After agonizing over which pair of hobbits to follow, Aragorn, Gimli and Legolas pursue the orcs bearing Merry and Pippin to Saruman. In the kingdom of Rohan, the orcs are slain by a company of the Rohirrim. Merry and Pippin escape into Fangorn Forest, where they are befriended by Treebeard, the oldest of the tree-like Ents. Aragorn, Gimli and Legolas track the hobbits to Fangorn, and encounter Gandalf, resurrected as the significantly more powerful ""Gandalf the White"" after his mutually fatal duel with the Balrog. Gandalf assures them that Merry and Pippin are safe. They then ride to Edoras, the capital of Rohan, where they free Théoden, King of Rohan, from the influence of Saruman's henchmanGríma Wormtongue. Théoden musters his fighting strength and rides to the ancient fortress of Helm's Deep, but en route Gandalf leaves to seek help from Treebeard.",Cats are often valued by humans for companionship and for their ability to hunt vermin. ,twotowers,mirkwood,comprehension,engagement,,engagement,engagement
8704,3354,"Meanwhile, the Ents, roused from their customarily peaceful ways by Merry and Pippin, attack Isengard, Saruman's stronghold, and trap the wizard in the tower of Orthanc. Gandalf convinces Treebeard to send an army of Huorns to Théoden's aid. Gandalf and Rohirrim reinforcements arrive at Helm's Deep just in time to defeat and scatter Saruman's army. The Huorns dispose of the fleeing orcs. Gandalf then parleys with Saruman at Orthanc. When Saruman rejects his offer of redemption, Gandalf strips him of his rank and most of his powers. Pippin looks into a palantír, a seeing-stone that Saruman had used to communicate with Sauron and through which he was ensnared. Gandalf rides for Minas Tirith, chief city of Gondor, taking Pippin with him.", There are more than 70 cat breeds; different associations proclaim different numbers according to their standards.,rotk,mirkwood,critique,interpretation-pattern,"identification of a literary convention, imagery",all_interps,all_interps
865,9589,"Frodo and Sam capture Gollum, who had been following them from Moria, and force him to guide them to Mordor. Finding Mordor's Black Gate too well guarded to attempt, they travel instead to a secret passage Gollum knows. On the way, they fall in with Faramir, who, unlike his brother Boromir, resists the temptation to seize the Ring and instead helps Frodo on his way. ","Cats are similar in anatomy to the other felids, with a strong, flexible body, quick reflexes, sharp retractable claws, and teeth adapted to killing small prey.",fellowship,mirkwood,critique,questioning,,questioning,questioning
2695,5952,"Torn between his loyalty to Frodo and his desire for the Ring, Gollum eventually betrays Frodo by leading him to the great spider Shelob in the tunnels ofCirith Ungol. Frodo is felled by Shelob's sting, but Sam fights her off. Sam takes the Ring and leaves Frodo, believing him to be dead. When orcs find Frodo, Sam overhears them say that Frodo is only unconscious, and chases after them.","Benjamin Franklin (January 17, 1706 [O.S. January 6, 1705][1] – April 17, 1790) was one of the Founding Fathers of the United States. ",twotowers,mirkwood,critique,evaluation,,evaluation,evaluation
2046,8452,"Sauron unleashes a heavy assault upon Gondor. Gandalf arrives at Minas Tirith to alert Denethor of the impending attack. The city is besieged, and Denethor, deceived by Sauron, gives up hope and commits suicide, nearly taking his remaining son Faramir with him. Aragorn feels he has no choice but to take the Paths of the Dead in order to reach Gondor in time, accompanied by Legolas, Gimli and the Dúnedain Rangers from the North. During this perilous journey, Aragorn raises an undead army of oath-breakers bound by an ancient curse that denies them rest until they fulfill their vow to the king of Gondor. The ghostly army helps defeat the Corsairs of Umbar invading southern Gondor. Commandeering the ships of the Corsairs, Aragorn leads reinforcements up the Anduin to relieve the siege of Minas Tirith, and between them, the forces of Gondor and Rohan defeat Sauron's army in the Battle of the Pelennor Fields.",". A renowned polymath, Franklin was a leading author, printer, political theorist, politician, freemason, postmaster, scientist, inventor, civic activist, statesman, and diplomat. ",twotowers,mirkwood,comprehension,paraphrase,,paraphrase,paraphrase
4598,2755,"Meanwhile, Sam rescues Frodo from the tower of Cirith Ungol, and they set out across Mordor. In order to distract Sauron from his true danger, Aragorn leads the armies of Gondor and Rohan in a march on the Black Gate of Mordor. His vastly outnumbered troops fight desperately against Sauron's forces. Reaching the edge of the Cracks of Doom, Frodo is unable to resist the Ring any longer and claims it for himself. But Gollum suddenly reappears. In the ensuing struggle, he seizes the Ring by biting off the finger on which Frodo wears it. Celebrating wildly, Gollum accidentally falls into the fire, taking the Ring with him; and so Frodo's mission is completed. With the destruction of the One Ring, Sauron is permanently shorn of his power, the Nazgûl perish, and his armies are thrown into such disarray that Aragorn's forces emerge victorious.",". As a scientist, he was a major figure in the American Enlightenment and the history of physics for his discoveries and theories regarding electricity",twotowers,mirkwood,critique,elaboration,powerful,all_interps,all_interps
1456,864,"With the end of the War of the Ring, Aragorn is crowned Elessar, King of Arnor and Gondor, and marries his long-time love, Arwen, daughter of Elrond. Saruman escapes from Isengard and, seeking vengeance on the hobbits, enslaves the Shire. The four hobbits, upon returning home, raise a rebellion and overthrow him. Gríma turns on Saruman and kills him in front of Frodo's house, and is slain in turn by hobbit archers. The War of the Ring thus comes to its true end on Frodo's very doorstep.","As an inventor, he is known for the lightning rod, bifocals, and the Franklin stove, among other inventions.",rotk,rohan,critique,evaluation,emotional,evaluation,evaluation
692561,6550,"Merry and Pippin are acclaimed heroes, while Sam marries Rosie Cotton and uses his gifts from Galadriel to help heal the Shire. ","He facilitated many civic organizations, including Philadelphia's fire department and a university.[3]",rotk,rohan,critique,elaboration,external historical information elaboration,all_interps,all_interps
5898,6752," Frodo, however, remains wounded in body and spirit after having borne the oppressive weight of the One Ring so long.","Franklin earned the title of ""The First American"" for his early and indefatigable campaigning for colonial unity, initially as an author and spokesman in London for several colonies. As the first United States Ambassador to France, he exemplified the emerging American nation.[4] Franklin was foundational in defining the American ethos as a marriage of the practical values of thrift, hard work, education, community spirit, self-governing institutions, and opposition to authoritarianism both political and religious, with the scientific and tolerant values of the Enlightenment. In the words of historian Henry Steele Commager, ""In a Franklin could be merged the virtues of Puritanism without its defects, the illumination of the Enlightenment without its heat.""[5] To Walter Isaacson, this makes Franklin ""the most accomplished American of his age and the most influential in inventing the type of society America would become.""[6]",rotk,rohan,critique,elaboration,personal elaboration - application to own experience,all_interps,all_interps
1241,3763,"Several years later, accompanied by Bilbo and Gandalf, he sails from the Grey Havens west over the Sea to the Undying Lands to find peace. ","Franklin became a successful newspaper editor and printer in Philadelphia, the leading city in the colonies, publishing the Pennsylvania Gazette at the age of 23.[7] He became wealthy publishing this and Poor Richard's Almanack, which he authored under the pseudonym ""Richard Saunders"". After 1767, he was associated with the Pennsylvania Chronicle, a newspaper that was known for its revolutionary sentiments and criticisms of the British policies.",fellowship,rohan,critique,interpretation-paraphrase,,all_interps,all_interps
6018,5976,"After Rosie's death, Sam gives his daughter the Red Book of Westmarch, containing the account of Bilbo's adventures and the War of the Ring as witnessed by the hobbits. ","He pioneered and was first president of the The Academy and College of Philadelphia which opened in 1751 and later became the University of Pennsylvania. He organised and was the first secretary of the American Philosophical Society and was elected president in 1769. Franklin became a national hero in America when, as an agent for several colonies, he spearheaded an effort in London to have the Parliament of Great Britainrepeal the unpopular Stamp Act. An accomplished diplomat, he was widely admired among the French as American minister to Paris and was a major figure in the development of positive Franco-American relations. His efforts to secure support for the American Revolution by shipments of crucial munitions proved vital for the American war effort.",rotk,rohan,comprehension,paraphrase,,paraphrase,paraphrase
