annotation_id,uid,passage,annotation,title,setting,comp/crit,strategy,notes,combined strategy calculation,combined strategy
7477,4521,"Sam is then said to have crossed west over the Sea himself, the last of the Ring-bearers.","George Washington (February 22, 1732 [O.S. February 11, 1731][b][c] – December 14, 1799) was the first President of the United States (1789–97), the Commander-in-Chief of the Continental Army during the American Revolutionary War, and one of the Founding Fathers of the United States. He presided over the convention that drafted the current United States Constitution and during his lifetime was called the ""father of his country"".[2]",fellowship,rohan,comprehension,paraphrase,,paraphrase,paraphrase
778,2969,"The Lord of the Rings is an epic high-fantasy novel written by English author J. R. R. Tolkien. The story began as a sequel to Tolkien's 1937 fantasy novel The Hobbit, but eventually developed into a much larger work. Written in stages between 1937 and 1949, The Lord of the Rings is one of the best-selling novels ever written, with over 150 million copies sold.","Widely admired for his strong leadership qualities, Washington was unanimously elected president by the Electoral College in the first two national elections. He oversaw the creation of a strong, well-financed national government that maintained neutrality in the French Revolutionary Wars, suppressed the Whiskey Rebellion, and won acceptance among Americans of all types.[3] Washington's incumbency established many precedents, still in use today, such as the cabinet system, the inaugural address, and the title Mr. President.[4][5] His retirement from office after two terms established a tradition that lasted until 1940, when Franklin Delano Rooseveltwon an unprecedented third term. The 22nd Amendment (1951) now limits the president to two elected terms.",twotowers,rohan,critique,elaboration,,all_interps,all_interps
9094,5224,"The title of the novel refers to the story's main antagonist, the Dark Lord Sauron,[note 1] who had in an earlier age created the One Ring to rule the other Rings of Power as the ultimate weapon in his campaign to conquer and rule all of Middle-earth. From quiet beginnings in the Shire, a hobbit land not unlike the","Born into the provincial gentry of Colonial Virginia, his family were wealthy planters who owned tobacco plantations and slaves which he inherited. He owned hundreds of slaves throughout his lifetime; while he chose not to buy or sell anymore slaves during his life, children born to his slaves did become new slaves, so their numbers did continue rise.[6][7] In his youth he became a senior British officer in the colonial militia during the first stages of the French and Indian War.",rotk,rohan,other,other,,other,other
3942,5745,"English countryside, the story ranges across Middle-earth, following the course of the War of the Ring through the eyes of its characters, not only the hobbits Frodo Baggins, Samwise ""Sam"" Gamgee, Meriadoc ""Merry"" Brandybuck and Peregrin ""Pippin"" Took, but also the hobbits' chief allies and travelling companions: the Men Aragorn son of Arathorn, a Ranger of the North, and Boromir, a Captain of Gondor; Gimli son of Glóin, a Dwarf warrior; Legolas Greenleaf, an Elven prince; and Gandalf, a Wizard."," In 1775 the Second Continental Congress commissioned Washington as commander-in-chief of the Continental Army in the American Revolution. In that command, Washington forced the British out of Boston in 1776, but was defeated and nearly captured later that year when he lost New York City. After crossing the Delaware River in the middle of winter, he defeated the British in two battles (Trenton and Princeton), retook New Jersey and restored momentum to the Patriot cause.",rotk,rohan,critique,elaboration,but also kind of rambling...,all_interps,all_interps
3455,5029,"The work was initially intended by Tolkien to be one volume of a two-volume set, the other to be The Silmarillion, but this idea was dismissed by his publisher.[3][4] For economic reasons The Lord of the Rings was published in three volumes over the course of a year from 29 July 1954 to 20 October 1955.[3][5] The three volumes were titled The Fellowship of the Ring, The Two Towers, and The Return of the King. Structurally, the novel is divided internally into six books, two per volume, with several appendices of background material included at the end of the third volume. Some editions combine the entire work into a single volume. The Lord of the Rings has since been reprinted numerous times and translated into 38 languages.","His strategy enabled Continental forces to capture two major British armies at Saratoga in 1777 and Yorktown in 1781. Historians laud Washington for the selection and supervision of his generals, preservation and command of the army, coordination with the Congress, state governors and their militia, and attention to supplies, logistics, and training. In battle, however, Washington was repeatedly outmaneuvered by British generals with larger armies.",rotk,rohan,comprehension,paraphrase,,paraphrase,paraphrase
2428,2787,"Tolkien's work has been the subject of extensive analysis of its themes and origins. Although a major work in itself, the story was only the last movement of a larger epic Tolkien had worked on since 1917,[6] in a process he described as mythopoeia.[citation needed] Influences on this earlier work, and on the story of The Lord of the Rings, include philology, mythology, religion and the author's distaste for the effects of industrialization, as well as earlier fantasy works and Tolkien's experiences in World War I.[7] ","After victory had been finalized in 1783, Washington resigned as commander-in-chief rather than seize power, proving his opposition to dictatorship and his commitment to American republicanism.[8]Washington presided over the Constitutional Convention in 1787, which devised a new form of federal government for the United States. ",fellowship,bree,critique,interpretation-paraphrase,,all_interps,all_interps
792,3671,"These inspirations and themes have often been denied by Tolkien himself. The Lord of the Rings in its turn is considered to have had a great effect on modern fantasy; the impact of Tolkien's works is such that the use of the words ""Tolkienian"" and ""Tolkienesque"" have been recorded in the Oxford English Dictionary.","World War II (often abbreviated to WWII or WW2), also known as the Second World War, was a global war that lasted from 1939 to 1945, although related conflicts began earlier. ",twotowers,bree,critique,interpretation,thematic inference,all_interps,all_interps
3015,9489,"The enduring popularity of The Lord of the Rings has led to numerous references in popular culture, the founding of many societies by fans of Tolkien's works,[9] and the publication of many books about Tolkien and his works. The Lord of the Rings has inspired, and continues to inspire, artwork, music, films and television, video games, and subsequent literature. Award-winning adaptations of The Lord of the Rings have been made forradio, theatre, and film.[10] In 2003, it was named Britain's best-loved novel of all time in the BBC's The Big Read.","It involved the vast majority of the world's nations—including all of the great powers—eventually forming two opposing military alliances: the Allies and the Axis. It was the most widespread war in history, and directly involved more than 100 million people from over 30 countries. In a state of ""total war"", the major participants threw their entire economic, industrial, and scientific capabilities behind the war effort, erasing the distinction between civilian and military resources.",fellowship,bree,critique,interpretation,global inference,all_interps,all_interps
8322,3415,"Thousands of years before the events of the novel, the Dark Lord Sauron had forged the One Ring to rule the other Rings of Power and corrupt those who wore them: the leaders of Men, Elves and Dwarves. Sauron was later vanquished in battle by an alliance of Elves and Men led by Elendil and Gil-galad. Isildur, a ruler of Men, cut the One Ring from Sauron's finger, claiming it as an heirloom for his line, and Sauron lost his physical form. When Isildur was later ambushed and killed by the Orcs, the Ring was lost in the RiverAnduin at Gladden Fields.","Marked by mass deaths of civilians, including the Holocaust (in which approximately 11 million people were killed)[1][2] and the strategic bombing of industrial and population centres (in which approximately one million were killed, and which included the atomic bombings of Hiroshima and Nagasaki),[3] it resulted in an estimated 50 million to 85 million fatalities.",fellowship,bree,comprehension,engagement,,engagement,engagement
9514,3467,"Over two thousand years later, the Ring was found by one of the river-folk called Déagol. His friend[11] Sméagol immediately fell under the Ring's influence and strangled Déagol to acquire it. Sméagol was banished and hid under the Misty Mountains, where the Ring extended his lifespan and transformed him over the course of hundreds of years into a twisted, corrupted creature called Gollum. He lost the Ring, his ""precious"", and, as recounted in The Hobbit, Bilbo Baggins found it. Meanwhile, Sauron re-assumed physical form and took back his old realm of Mordor. Gollum set out in search of the Ring, but was captured by Sauron, who learnt from him that ""Baggins"" in the Shire had taken it. Gollum was set loose, and Sauron, who needed the Ring to regain his full power, sent forth his powerful servants, the Nazgûl, to seize it.",These made World War II the deadliest conflict in human history.[4],fellowship,bree,comprehension,paraphrase,,paraphrase,paraphrase
657,8250,"The story begins in the Shire, where the Hobbit Frodo Baggins inherits the Ring from Bilbo Baggins, his cousin[note 2] and guardian. Neither hobbit is aware of its origin and nature, but Gandalf the Grey, a wizard and old friend of Bilbo, suspects the Ring's identity. When he becomes certain, he strongly advises Frodo to take it away from the Shire. Frodo leaves, accompanied by his gardener and friend, Samwise (""Sam"") Gamgee, and two cousins, Meriadoc (""Merry"") Brandybuck and Peregrin (""Pippin"") Took. They nearly encounter the Nazgûl while still in the Shire, but shake off pursuit by cutting through the Old Forest, where they are aided by the enigmatic Tom Bombadil, who alone is unaffected by the Ring's corrupting influence. After leaving the forest, they stop in the town ofBree where they meet Strider, who is later revealed to be Aragorn, Isildur's heir. He persuades them to take him on as guide and protector. They flee from Bree after narrowly escaping another assault, but the Nazgûl follow and attack them on the hill of Weathertop, wounding Frodo with a Morgul blade. Aragorn leads the hobbits toward the Elven refuge of Rivendell, while Frodo gradually succumbs to the wound. The Ringwraiths nearly overtake Frodo at the Ford of Bruinen, but flood waters summoned by Elrond, master of Rivendell, rise up and overwhelm them.","The Empire of Japan aimed to dominate Asia and the Pacific and was already at war with the Republic of China in 1937,[5] but the world war is generally said to have begun on 1 September 1939[6] with theinvasion of Poland by Germany and subsequent declarations of war on Germany by France and the United Kingdom. ",fellowship,bree,critique,interpretation,,all_interps,all_interps
5418,554,"Frodo recovers in Rivendell under the care of Elrond. The Council of Elrond reveals much significant history about Sauron and the Ring, as well as the news that Sauron has corrupted Gandalf's fellow wizard, Saruman. The Council decides that the Ring must be destroyed, but that can only be done by returning it to the flames of Mount Doom in Mordor, where it was forged. Frodo volunteers to take on this daunting task, and a ""Fellowship of the Ring"" is formed to aid him: Sam, Merry, Pippin, Aragorn, Gandalf, Gimli theDwarf, Legolas the Elf, and the Man Boromir, son of the Ruling Steward Denethor of the realm of Gondor."," From late 1939 to early 1941, in a series of campaigns and treaties, Germany conquered or controlled much of continental Europe, and formed the Axis alliance with Italy and Japan. ",rotk,bree,critique,interpretation,,all_interps,all_interps
4204,7261,"After a failed attempt to cross the Misty Mountains via the Redhorn Pass across the flank of Caradhras, the company are forced to try a more perilous path through the Mines of Moria, where they are attacked by the Watcher in the Water before the gate. Inside, they discover the fate of Balin and his colony of Dwarves. After repulsing an attack, they are pursued by orcs and an ancient and powerful demonic creature called a Balrog. Gandalf confronts the Balrog, but in their struggle, both fall into a deep chasm. The others escape and take refuge in the Elven forest of Lothlórien, where they are counselled by Galadriel and Celeborn.","Under the Molotov–Ribbentrop Pact of August 1939, Germany and the Soviet Union partitioned and annexed territories of their European neighbours, Poland, Finland, Romania and the Baltic states. The war continued primarily between the European Axis powers and the coalition of the United Kingdom and the British Commonwealth, with campaigns including the North Africa and East Africa campaigns, the aerial Battle of Britain, the Blitz bombing campaign, the Balkan Campaign as well as the long-running Battle of the Atlantic. In June 1941, the European Axis powers launched an invasion of the Soviet Union, opening the largest land theatre of war in history, which trapped the major part of the Axis' military forces into a war of attrition. In December 1941, Japan attacked the United States and European territories in the Pacific Ocean, and quickly conquered much of the Western Pacific.",twotowers,bree,comprehension,paraphrase,,paraphrase,paraphrase
9308,5863,"With boats and gifts from Galadriel, the company travel down the River Anduin to the hill of Amon Hen. Boromir succumbs to the lure of the Ring and attempts to take it from Frodo. Frodo escapes and determines to continue the quest alone, though Sam guesses his intent and comes along.","Zimbabwe (/z?m?b??bwe?/), officially the Republic of Zimbabwe, is a landlocked sovereign state located in southern Africa, between the Zambezi and Limpopo Rivers.",twotowers,bree,critique,evaluation,,evaluation,evaluation
3868,8037,"Orcs sent by Saruman and Sauron kill Boromir and kidnap Merry and Pippin. After agonizing over which pair of hobbits to follow, Aragorn, Gimli and Legolas pursue the orcs bearing Merry and Pippin to Saruman. In the kingdom of Rohan, the orcs are slain by a company of the Rohirrim. Merry and Pippin escape into Fangorn Forest, where they are befriended by Treebeard, the oldest of the tree-like Ents. Aragorn, Gimli and Legolas track the hobbits to Fangorn, and encounter Gandalf, resurrected as the significantly more powerful ""Gandalf the White"" after his mutually fatal duel with the Balrog. Gandalf assures them that Merry and Pippin are safe. They then ride to Edoras, the capital of Rohan, where they free Théoden, King of Rohan, from the influence of Saruman's henchmanGríma Wormtongue. Théoden musters his fighting strength and rides to the ancient fortress of Helm's Deep, but en route Gandalf leaves to seek help from Treebeard.","It borders South Africa to the south, Botswana to the west, Zambia to the northwest, and Mozambique to the east and northeast",rotk,bree,comprehension,vocabulary,,vocabulary,vocabulary
4465,3834,"Meanwhile, the Ents, roused from their customarily peaceful ways by Merry and Pippin, attack Isengard, Saruman's stronghold, and trap the wizard in the tower of Orthanc. Gandalf convinces Treebeard to send an army of Huorns to Théoden's aid. Gandalf and Rohirrim reinforcements arrive at Helm's Deep just in time to defeat and scatter Saruman's army. The Huorns dispose of the fleeing orcs. Gandalf then parleys with Saruman at Orthanc. When Saruman rejects his offer of redemption, Gandalf strips him of his rank and most of his powers. Pippin looks into a palantír, a seeing-stone that Saruman had used to communicate with Sauron and through which he was ensnared. Gandalf rides for Minas Tirith, chief city of Gondor, taking Pippin with him.","Since the 11th century, present-day Zimbabwe has been the site of several organised states and kingdoms as well as a major route for migration and trade. The British South Africa Company of Cecil Rhodes first demarcated the present territory during the 1890s; i",fellowship,gondor,comprehension,clarification-question,,clarification-question,clarification-question
127632,5975,"Frodo and Sam capture Gollum, who had been following them from Moria, and force him to guide them to Mordor. Finding Mordor's Black Gate too well guarded to attempt, they travel instead to a secret passage Gollum knows. On the way, they fall in with Faramir, who, unlike his brother Boromir, resists the temptation to seize the Ring and instead helps Frodo on his way. ",A self-governing colony is a colony with an elected government in which elected rulers are able to make most decisions without referring to the colonial power with nominal control of the colony. Most self-governing colonies have responsible government.,twotowers,gondor,critique,elaboration,,all_interps,all_interps
5140,2817,"Torn between his loyalty to Frodo and his desire for the Ring, Gollum eventually betrays Frodo by leading him to the great spider Shelob in the tunnels ofCirith Ungol. Frodo is felled by Shelob's sting, but Sam fights her off. Sam takes the Ring and leaves Frodo, believing him to be dead. When orcs find Frodo, Sam overhears them say that Frodo is only unconscious, and chases after them.","Self-governing colonies for the most part have no formal authority over constitutional matters such the monarchy and the constitutional relationship with Britain. The Judicial Committee of the Privy Council, in London, serves as the ultimate avenue of appeal in matters of law and justice.",twotowers,gondor,critique,interpretation,,all_interps,all_interps
7622,6231,"Sauron unleashes a heavy assault upon Gondor. Gandalf arrives at Minas Tirith to alert Denethor of the impending attack. The city is besieged, and Denethor, deceived by Sauron, gives up hope and commits suicide, nearly taking his remaining son Faramir with him. Aragorn feels he has no choice but to take the Paths of the Dead in order to reach Gondor in time, accompanied by Legolas, Gimli and the Dúnedain Rangers from the North. During this perilous journey, Aragorn raises an undead army of oath-breakers bound by an ancient curse that denies them rest until they fulfill their vow to the king of Gondor. The ghostly army helps defeat the Corsairs of Umbar invading southern Gondor. Commandeering the ships of the Corsairs, Aragorn leads reinforcements up the Anduin to relieve the siege of Minas Tirith, and between them, the forces of Gondor and Rohan defeat Sauron's army in the Battle of the Pelennor Fields.","Colonies have sometimes been referred to as ""self-governing"" in situations where the executive has been under the control of neither the imperial government nor a local legislature elected by universal suffrage, but by a local oligarchy state. In most cases such control has been exercised by an elite class from a settler community.",twotowers,gondor,critique,questioning,,questioning,questioning
5316,9442,"Meanwhile, Sam rescues Frodo from the tower of Cirith Ungol, and they set out across Mordor. In order to distract Sauron from his true danger, Aragorn leads the armies of Gondor and Rohan in a march on the Black Gate of Mordor. His vastly outnumbered troops fight desperately against Sauron's forces. Reaching the edge of the Cracks of Doom, Frodo is unable to resist the Ring any longer and claims it for himself. But Gollum suddenly reappears. In the ensuing struggle, he seizes the Ring by biting off the finger on which Frodo wears it. Celebrating wildly, Gollum accidentally falls into the fire, taking the Ring with him; and so Frodo's mission is completed. With the destruction of the One Ring, Sauron is permanently shorn of his power, the Nazgûl perish, and his armies are thrown into such disarray that Aragorn's forces emerge victorious.",Sovereignty is understood in jurisprudence as the full right and power of a governing body to govern itself without any interference from outside sources or bodies. ,rotk,gondor,critique,interpretation,,all_interps,all_interps
